"A",3.51,3.54,2.30,14.72B,1.66,45.91,45.91
"ACO",N/A,N/A,0,N/A,0,N/A,19
"AA",0.77,0.58,-0.47,5.36B,1.14,29.40,27.53
"ACOM",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AAN",1.61,0.72,1.22,2.38B,6.00,32.78,25.19
"ACOR",1.39,1.82,3.85,862.67M,7.32,20.10,23.31
"AAON",8.43,4.43,2.67,1.73B,11.24,32.70,28.76
"ACPW",N/A,N/A,0.00,N/A,0.00,0.21,0.35
"AAP",4.43,1.33,2.46,12.80B,3.88,171.91,156.98
"ACTG",1.34,2.17,0.53,358.29M,2.25,7.25,5.87
"AAPL",4.83,2.87,1.48,621.96B,1.73,115.97,107.06
"ACTV",N/A,N/A,0,N/A,0,N/A,0
"AAT",2.45,6.81,18.98,1.97B,1.89,42.59,42.30
"ACUR",N/A,3.15,0.00,10.06M,1.30,0.90,1.56
"AATI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ACW",N/A,N/A,0.00,N/A,0.00,2.58,2.01
"AAWW",0.86,0.71,1.17,1.26B,4.45,50.75,42.54
"ACXM",2.93,2.37,2.97,2.09B,8.55,26.81,24.64
"ABAX",4.73,5.30,2.69,1.17B,17.96,53.13,49.94
"ADBE",6.91,8.77,0.89,52.19B,1.52,103.55,101.96
"ABBC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ADC",1.84,12.37,-27.39,1.09B,2.15,44.62,46.93
"ABC",8.00,0.12,1.48,17.26B,3.99,77.38,81.19
"ADI",4.30,6.49,3.23,22.44B,4.64,72.09,63.11
"ABCB",2.45,5.05,2.66,1.51B,4.23,45.15,35.42
"ADM",1.53,0.43,2.58,26.51B,2.14,46.51,43.40
"ABCD",N/A,1.49,0.00,228.88M,4.57,4.90,4.93
"ADP",10.75,3.83,2.40,45.61B,3.09,100.85,90.62
"ABCO",2.77,1.62,1.12,1.31B,4.18,32.45,38.68
"ADPI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ABD",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ADS",7.41,1.87,1.11,13.34B,5.60,228.83,213.57
"ABFS",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ADSK",16.05,7.74,-5.67,16.85B,3.58,76.48,65.91
"ABG",5.41,0.21,0.77,1.41B,6.98,62.45,55.72
"ADTN",2.30,1.79,14.77,1.11B,3.68,22.70,18.99
"ABM",2.31,0.44,4.27,2.26B,4.40,40.05,38.68
"ADVS",N/A,N/A,0.00,N/A,0.00,N/A,41.95
"ABMD",12.72,13.14,3.78,5.04B,3.75,117.54,115.65
"AEA",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ABT",2.70,2.71,1.85,56.45B,9.05,38.10,40.99
"AEC",N/A,N/A,0,N/A,0,N/A,27
"ABVT",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AEE",1.74,2.15,3.39,12.59B,4.11,51.60,50.29
"ACAS",0.82,6.53,2.58,3.75B,1.77,17.45,16.68
"AEGR",N/A,N/A,0.00,N/A,N/A,N/A,N/A
"ACAT",1.48,0.39,-0.70,230.54M,14.37,16.76,15.62
"AEIS",5.97,4.87,0.40,2.16B,2.66,53.37,44.80
"ACC",1.85,8.16,3.40,6.46B,2.71,48.49,49.66
"AEL",0.69,0.91,1.63,1.95B,2.16,22.47,17.51
"ACCL",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AEO",2.54,0.82,1.06,2.95B,5.93,16.35,17.32
"ACE",N/A,N/A,0,N/A,0,N/A,109
"AEP",1.78,1.91,8.67,30.95B,1.77,62.81,64.95
"ACET",2.03,1.14,0.71,642.19M,6.60,20.89,21.30
"AEPI",5.36,0.56,0.00,611.26M,1.12,119.85,97.87
"ACGL",1.60,2.40,2.28,10.53B,5.15,86.83,77.07
"AES",2.69,0.55,4.01,7.80B,1.75,11.75,12.03
"ACHN",1.42,18.08,-0.38,560.39M,3.03,4.18,7.42
"AET",2.43,0.71,1.33,43.55B,2.38,126.81,118.30
"ACI",N/A,N/A,0,N/A,0,N/A,3
"AF",1.15,4.56,5.64,1.81B,3.35,18.00,15.23
"ACIW",3.05,2.18,-2.95,2.19B,12.96,18.07,19.18
"AFAM",1.49,0.72,1.51,447.02M,3.01,43.80,40.03
"ACLS",2.03,1.50,2.39,412.62M,5.58,13.70,12.21
"AFCE",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ACM",1.73,0.34,1.61,5.84B,2.40,37.92,32.30
"AFFX",N/A,N/A,0.00,N/A,0.00,14.01,0.00
"ACN",10.10,2.32,1.98,76.70B,5.93,123.00,116.24
"AFFY",0.478,58.914,0.000,2.47M,2.350,0.066,0.074
"AFG",1.45,1.20,1.89,7.56B,1.78,86.45,75.49
"ALEX",1.78,4.57,2.27,2.18B,7.74,43.95,39.58
"AFL",1.24,1.28,1.39,28.48B,4.55,69.41,71.37
"ALG",2.11,0.95,3.06,839.77M,2.00,71.50,66.31
"AFP",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ALGN",8.31,7.93,1.77,7.99B,2.97,101.14,89.20
"AFSI",1.84,0.90,0.82,4.78B,8.04,28.08,25.92
"ALGT",6.22,2.06,4.15,2.74B,4.26,167.80,144.41
"AGCO",1.61,0.64,13.60,4.67B,10.49,58.23,50.64
"ALIM",N/A,2.38,0.00,71.35M,2.88,1.08,1.43
"AGII",1.10,1.31,2.25,1.96B,1.43,65.65,56.44
"ALJ",1.51,0.23,0.23,817.30M,4.46,11.61,7.96
"AGL",N/A,N/A,0,N/A,0,N/A,27
"ALK",3.82,1.89,-20.88,11.14B,8.26,88.73,69.42
"AGM",1.51,4.14,1.44,595.22M,1.89,56.99,41.60
"ALKS",7.09,12.35,10.13,8.51B,5.19,56.51,48.97
"AGN",0.87,4.33,1.22,72.22B,5.63,192.81,229.54
"ALL",1.42,0.76,1.47,27.39B,1.24,74.11,68.94
"AGNC",N/A,N/A,0.00,N/A,0.00,17.87,0.00
"ALNC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AGO",0.77,2.90,3.05,5.02B,3.25,38.86,29.02
"ALNY",3.75,102.24,-0.20,3.73B,5.82,44.39,58.24
"AGP",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ALOG",1.96,2.03,1.58,1.05B,14.85,84.05,85.95
"AGX",4.00,1.82,0.00,1.13B,1.34,69.65,51.92
"ALR",2.36,1.42,1.99,3.43B,2.72,39.00,40.93
"AGYS",1.95,1.84,-1.54,237.37M,16.89,10.29,10.66
"ALSK",0.53,0.36,-1.63,82.17M,0.45,1.60,1.67
"AH",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ALTE",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AHC",1.27,0.53,0.00,137.64M,0.66,6.50,6.01
"ALTH",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AHL",1.04,1.08,-12.49,3.31B,1.04,53.40,47.49
"ALTR",N/A,N/A,0.00,N/A,0.00,N/A,51.16
